date,price,cumcasesbyspecimendate
28-03-2021,,4332664
29-03-2021,,4336631
30-03-2021,,4340226
31-03-2021,,4343994
01-04-2021,5.3033175,4347463
02-04-2021,,4350088
03-04-2021,,4352491
04-04-2021,,4354783
05-04-2021,,4357400
06-04-2021,,4360517
07-04-2021,,4363601
08-04-2021,,4366583
09-04-2021,,4369366
10-04-2021,,4371625
11-04-2021,,4373885
12-04-2021,,4376599
13-04-2021,,4378932
14-04-2021,,4381337
15-04-2021,,4383527
16-04-2021,,4385881
17-04-2021,,4387518
18-04-2021,,4389956
19-04-2021,,4392558
20-04-2021,,4394926
21-04-2021,,4397470
22-04-2021,,4399724
23-04-2021,,4401617
24-04-2021,,4403081
25-04-2021,,4405072
26-04-2021,,4407515
27-04-2021,,4409572
28-04-2021,,4411933
29-04-2021,,4414017
30-04-2021,,4415722
01-05-2021,5.3314953,4417078
02-05-2021,,4418505
03-05-2021,,4420479
04-05-2021,,4422884
05-05-2021,,4425282
06-05-2021,,4427448
07-05-2021,,4429331
08-05-2021,,4430843
09-05-2021,,4433015
10-05-2021,,4435672
11-05-2021,,4437873
12-05-2021,,4440104
13-05-2021,,4442201
14-05-2021,,4444051
15-05-2021,,4445633
16-05-2021,,4447486
17-05-2021,,4450250
18-05-2021,,4452958
19-05-2021,,4455670
20-05-2021,,4458095
21-05-2021,,4460388
22-05-2021,,4462316
23-05-2021,,4464559
24-05-2021,,4467797
25-05-2021,,4471104
26-05-2021,,4474904
27-05-2021,,4478543
28-05-2021,,4482033
29-05-2021,,4484964
30-05-2021,,4488057
31-05-2021,,4491838
01-06-2021,5.2128572,4497073
02-06-2021,,4503123
03-06-2021,,4509220
04-06-2021,,4514927
05-06-2021,,4519550
06-06-2021,,4524955
07-06-2021,,4532696
08-06-2021,,4540371
09-06-2021,,4548373
10-06-2021,,4556207
11-06-2021,,4563648
12-06-2021,,4569764
13-06-2021,,4576718
14-06-2021,,4586824
15-06-2021,,4597325
16-06-2021,,4608097
17-06-2021,,4618871
18-06-2021,,4628925
19-06-2021,,4637180
20-06-2021,,4647053
21-06-2021,,4663008
22-06-2021,,4680013
23-06-2021,,4697918
24-06-2021,,4716215
25-06-2021,,4733994
26-06-2021,,4749966
27-06-2021,,4768095
28-06-2021,,4795843
29-06-2021,,4823442
30-06-2021,,4851770
01-07-2021,5.2346282,4879887
02-07-2021,,4905670
03-07-2021,,4929235
04-07-2021,,4953909
05-07-2021,,4988103
06-07-2021,,5023472
07-07-2021,,5061291
08-07-2021,,5094645
09-07-2021,,5126866
10-07-2021,,5154747
11-07-2021,,5184777
12-07-2021,,5228431
13-07-2021,,5275162
14-07-2021,,5328983
15-07-2021,,5389744
16-07-2021,,5443982
17-07-2021,,5481833
18-07-2021,,5517337
19-07-2021,,5564236
20-07-2021,,5603301
21-07-2021,,5638234
22-07-2021,,5668978
23-07-2021,,5696256
24-07-2021,,5718739
25-07-2021,,5740512
26-07-2021,,5769905
27-07-2021,,5798950
28-07-2021,,5828609
29-07-2021,,5856516
30-07-2021,,5880799
31-07-2021,,5900951
01-08-2021,5.2748117,5921467
02-08-2021,,5950742
03-08-2021,,5980557
04-08-2021,,6012286
05-08-2021,,6043364
06-08-2021,,6070901
07-08-2021,,6093019
08-08-2021,,6115436
09-08-2021,,6146966
10-08-2021,,6177884
11-08-2021,,6210618
12-08-2021,,6241746
13-08-2021,,6270186
14-08-2021,,6294832
15-08-2021,,6319753
16-08-2021,,6355942
17-08-2021,,6393134
18-08-2021,,6431144
19-08-2021,,6466971
20-08-2021,,6498646
21-08-2021,,6526739
22-08-2021,,6555033
23-08-2021,,6594081
24-08-2021,,6631107
25-08-2021,,6669205
26-08-2021,,6706192
27-08-2021,,6739369
28-08-2021,,6766540
29-08-2021,,6792234
30-08-2021,,6826408
31-08-2021,,6870883
01-09-2021,4.9879341,6913718
02-09-2021,,6955347
03-09-2021,,6993374
04-09-2021,,7024735
05-09-2021,,7055987
06-09-2021,,7100129
07-09-2021,,7138151
08-09-2021,,7173385
09-09-2021,,7206791
10-09-2021,,7235522
11-09-2021,,7258731
12-09-2021,,7282400
13-09-2021,,7316521
14-09-2021,,7347462
15-09-2021,,7377404
16-09-2021,,7406579
17-09-2021,,7435643
18-09-2021,,7461950
19-09-2021,,7492495
20-09-2021,,7532611
21-09-2021,,7570872
22-09-2021,,7607032
23-09-2021,,7642250
24-09-2021,,7673854
25-09-2021,,7701712
26-09-2021,,7733237
27-09-2021,,7774156
28-09-2021,,7810085
29-09-2021,,7844382
30-09-2021,,7876393
01-10-2021,,7905021
02-10-2021,,7930924
03-10-2021,,7962417
04-10-2021,,8005457
05-10-2021,,8044056
06-10-2021,,8082647
07-10-2021,,8120512
08-10-2021,,8155494
09-10-2021,,8187178
10-10-2021,,8222979
11-10-2021,,8272399
12-10-2021,,8319873
13-10-2021,,8366843
14-10-2021,,8412469
15-10-2021,,8455326
16-10-2021,,8492585
17-10-2021,,8535568
18-10-2021,,8592255
19-10-2021,,8643805
20-10-2021,,8694594
21-10-2021,,8738965
22-10-2021,,8778895
23-10-2021,,8813396
24-10-2021,,8848487
25-10-2021,,8895047
26-10-2021,,8936358
27-10-2021,,8978480
28-10-2021,,9019009
29-10-2021,,9058471
30-10-2021,,9091379
31-10-2021,,9125384
01-11-2021,,9169486
02-11-2021,,9206497
03-11-2021,,9241396
04-11-2021,,9273528
05-11-2021,,9302916
06-11-2021,,9328519
07-11-2021,,9355889
08-11-2021,,9366676
